Songs,Songs_Keys,Artist_id,Artist
I Didn't Mean To,TRAAAAW128F429D538,,
Soul Deep,TRAAABD128F429CF47,,
Amor De Cabaret,TRAAADZ128F9348C2E,,
Something Girls,TRAAAEF128F4273421,,
Face the Ashes,TRAAAFD128F92F423A,ARXR32B1187FB57099,Gob
The Moon And I (Ordinary Day Album Version),TRAAAMO128F1481E7F,,
Keepin It Real (Skit),TRAAAMQ128F1460CD3,,
Drop of Rain,TRAAAPK128E0786D96,,
Pink World,TRAAARJ128F9320760,AR8ZCNI1187B9A069B,Planet P Project
Insatiable (Instrumental Version),TRAAAVG12903CFA543,,
Young Boy Blues,TRAAAVO128F93133D4,,
The Urgency (LP Version),TRAABCL128F4286650,ARC43071187B990240,Wayne Watson
La Culpa,TRAABDL12903CAABBA,,
Auguri Cha Cha,TRAABJL12903CDCF1A,ARHHO3O1187B989413,Bob Azzam
Tonight Will Be Alright,TRAABJV128F1460C49,,
Floating,TRAABLR128F423B7E3,,
High Tide,TRAABNV128F425CEE1,,
Sohna Nee Sohna Data,TRAABRB128F9306DD5,AR1ZHYZ1187FB3C717,Faiz Ali Faiz
Caught In A Dream,TRAABVM128F92CA9DC,ARYKCQI1187FB3B18F,Tesla
Synthetic Dream,TRAABXG128F9318EBD,ARNPAGP1241B9C7FD4,lextrical
Broken-Down Merry-Go-Round,TRAABYN12903CFD305,,
Kassie Jones,TRAABYW128F4244559,ARI3BMM1187FB4255E,Alice Stuart
Setanta matins,TRAACCG128F92E8A55,AR5KOSW1187FB35FF4,Elena
Setting Fire to Sleeping Giants,TRAACER128F4290F96,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan
James (Hold The Ladder Steady),TRAACFV128F935E50B,AR47JEX1187B995D81,SUE THOMPSON
Made Like This (Live),TRAACHN128F1489601,ARGIWFO1187B9B55B7,Five Bolt Main
Superconfidential,TRAACIW12903CC0F6D,ARNTLGG11E2835DDB9,Clp
I Think My Wife Is Running Around On Me (Taco Hell),TRAACLV128F427E123,,
Spanish Grease,TRAACNS128F14A2DF5,,
Crazy Mixed Up World,TRAACOW128F933E35F,,
Do You Finally Need A Friend,TRAACPE128F421C1B9,,
The Emperor Falls,TRAACQT128F9331780,AR1Y2PT1187FB5B9CE,John Wesley
Twist and Shout,TRAACSL128F93462F4,ARAJPHH1187FB5566A,The Shangri-Las
It Makes No Difference Now,TRAACTB12903CAAF15,,
Laws Patrolling (Album Version),TRAACVS128E078BE39,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran)
Â¿DÃ³nde va Chichi?,TRAACZK128F4243829,,
"Barking Dogs (From ""Piouhgd"")",TRAADDS128F425C68B,,
OUTE ENA EFHARISTO,TRAADED128F42741FD,ARNQAVF11F4C844C04,Despina Vandi
Midnight Swim,TRAADEV128F9348C0A,ARXUT4W1187FB48BEB,Javier Navarrete
In A Subtle Way,TRAADHS12903CE70A9,,
Spin,TRAADIV12903CB15C1,,
Burning In The Aftermath,TRAADLH12903CA70EE,ARWYVP51187B98C516,The Suicide Machines
Angie (1993 Digital Remaster),TRAADLN128F14832E9,ARFCUN31187B9AD578,The Rolling Stones
Sabor Guajiro,TRAADLR12903CF8D7E,AR6YDKV1187B989230,Roberto Torres
Human Cannonball,TRAADLX128F1469250,ARV1JVD1187B9AD195,Loudon Wainwright III
Glory Be,TRAADMH128F9343E59,,
Crossfire,TRAADNA128F9331246,,
I Can't Be Satisfied,TRAADOF12903CAA1C1,,
Nashville Parthenon,TRAADQX128F422B4CF,,
Cocain Ducks,TRAADRN128F932D607,AR6IRG41187B9A4D98,Ec8or
Human Being,TRAADVH128EF34DE7A,ARS1OWB1187B99EEAD,The New York Dolls
The More I See You,TRAADYB128F92D7E73,,
Certain Things We Do,TRAADYI128E078FB38,AROEL1B1187B988B90,Lost Boyz
Forming,TRAAEAM128F934B199,,
MafuÃ¡,TRAAEDJ12903CCE390,ARUWLCL1187FB549B8,Yamandu Costa
Driving Home For Christmas,TRAAEEH128E0795DFE,,
Spooks In Space,TRAAELO128F9302DD1,ARINEWW1187FB5577E,Perrey And Kingsley
Tous Les GarÃ§ons Et Les Filles,TRAAEMJ128F425A917,ARDGB6U1187FB3AD07,Eurythmics
Too Much Saturn,TRAAENC128F1451DE9,,
Movement 4 [from Kiss] (Album Version),TRAAENP128F147BF32,,
Stream,TRAAEOU128F9309DE0,AR89DTT1187B9A7ED5,Suzanne Ciani
Make Me Over,TRAAERU128F930674F,ARMD0G81187B99A519,Vickie Winans
Deform (live),TRAAEUB12903CDD3EA,,
Wicker Chair,TRAAEWG128F930B3A4,,
An ti chans',TRAAEXM128F92D47C8,ARZKRD01187FB45FD2,Edith Lefel
I Will Love Again (JJ's Club Radio),TRAAFEB128F92F8694,ARK4H5K1187B992F74,Taras
Stickin In My Eye,TRAAFJW128F428A424,,
Ota kiinni,TRAAFKJ12903D02552,,
Entre CanÃ­bales,TRAAFMS128F933AB23,ARBJSO81187B9BA09B,Soda Stereo
Rosemary Recalls,TRAAFON128F42926FB,,
Sudanese Dance,TRAAFRU128F9339158,ARNIFX51187FB418EA,Xcultures
Where The Thunder Roars (Tales Of Wonder Album Version),TRAAFSM128F425A2C5,,
Wanna Be A Player,TRAAFUJ128F933F42B,ARNVH8S1187FB52F86,Heavy D / McGruff
Panama (Remastered Album Version),TRAAFYL128E07856A7,,
Let's Get It Started,TRAAGCZ128F93210FD,,
Metal,TRAAGEC128E079252C,,
She Fell Away (2009 Digital Remaster),TRAAGGE128F9325E2C,,
Next Time,TRAAGHM128EF35CF8E,ARMBYRO1187FB57419,Nadine Renee
It's My Party,TRAAGJV128F1464090,,
Complicate It,TRAAGKF128F932D5A2,AR6Y22S1187B99906F,Smartbomb
Monde De Fou,TRAAGKQ128F92EAF39,ARI5P4N1187FB3F44D,Suburbs
Opus a Satana (Part 2),TRAAGKS128F9314884,,
This Melody (Live),TRAAGMJ12903CAD7D4,,
I'm Gone This Time,TRAAGNL128F4299BF1,,
You Feel Good All Over,TRAAGOH128F42593CE,,
Indian Love Call,TRAAGPF12903CE027E,,
You Can Still Be Free,TRAAGPH128F4273C8D,ARBGWMW1187B9AEA3E,Savage Garden
I Never Came,TRAAGPJ128F428CD1B,AR6G4V01187B9AD086,Queens Of The Stone Age
Dixie,TRAAGUA128F93236E8,,
Commercial Reign,TRAAGVF128E0789785,,
Hourglass,TRAAGVM128E0784D95,AR9XEVF1187B99D017,Borialis
Wake,TRAAGXN128F92DE52C,ARCFOZ71187FB43A0D,The Dirty Skirts
Caricia Y Herida,TRAAGZU128EF360F47,,
Le tortillard,TRAAHDH128F93094B6,,
WKYA (drop),TRAAHEG128E07861C3,,
TerÃ¤slintu,TRAAHEH128F427FCEF,ARL6XZC1187FB3936E,Solistiyhtye Suomi
Now's The Time To Fall In Love,TRAAHEQ128F93057B4,,
Grim Prospects (Gross Prospects - Bad Trip Remix),TRAAHER128F92E3FE9,,
Mangos,TRAAHJX128F9312B83,AR3C3C01187B98E800,Kai Winding
A Distant Voice,TRAAHKE128F421389B,ARDD9UN1187B98D3A7,Sonny Simmons
Openbare Weg,TRAAHMO128F92DE7C9,,
President Johnson,TRAAHPZ12903CB4643,ARSVI4L1187B996181,Citizen Kaned
Lead Me Lord,TRAAHRF128F92FE234,,
Spontanous Combustion,TRAAHTH12903CCFFE1,AR4PCIG1187B98D07D,Ellen McIlwaine
Choro,TRAAHVY128F92E25D6,,
Ma Louise,TRAAHXN128F9326097,,
I Want You (Forever),TRAAHYV128F932A425,ARBQBZV1187B99D29E,Carl Cox Vs Yousef
Hate,TRAAHZP12903CA25F4,AR9ODB41187FB459B2,Organized Konfusion
I Can't Stop Loving You,TRAAIAE128F42AC53D,,
Thank You Lord,TRAAIAN12903CFF16D,,
How Can You Call That Beautiful (Stewkey Vocal),TRAAIAX128F930531B,ARYWCFZ11E2835CFDD,Nazz
Cheatin' In The Next Room,TRAAIBB12903CECB35,,
Candy Man,TRAAIDY128F92CA454,,
I See The Boys Of Summer,TRAAIFG12903CB0BCB,AR4ABL21187FB3913A,Richard Burton
Three Is a Crowd,TRAAIGD12903CA2F3C,AR8YV1I1187FB45D2B,Rory Block
On Bended Knee,TRAAIHL128F92E6DDA,ARR9XGB1187B9912E6,Boyz II Men
My Four Reasons,TRAAIIE128F4288BB1,ARBKUS51187B98A3AC,Howard Armstrong
Little Girl (LP Version),TRAAIII128F427D5D8,,
Eternamente Amame,TRAAILM128F93480BB,ARXFQDY1187B9AAF1E,Miguel Gallardo
Niev nietch nievitch,TRAAINT128F933BBE0,,
Come Over,TRAAIRG128F93265E8,,
Blue Taxi,TRAAIXN128F428027A,ARQESNI1187FB511EE,Morel
I Want Love (Tween You & Me) (Album Version),TRAAIXU128F4241E5C,,
White Feather,TRAAIYR12903CD290D,,
Christlike Roche,TRAAJAC128F148B530,,
You Rascal You,TRAAJBU128F9326C02,,
Sympathy,TRAAJBU12903CE2831,,
They Say (Album),TRAAJEK128F422F55A,ARV1P811187FB3CFC6,Jupiter Rising
Simon's Folly,TRAAJEK12903CE351A,ARIU0MA1187B98D36F,Dharma Bums
Crawl Before You Ball (Album Version),TRAAJJA12903CC518A,ARB4D891187B9954F7,Saafir
Medicate Myself,TRAAJJG128F4284B27,,
Biding Her Time,TRAAJJV128F42A2F99,AR19SOA1187B98F6E6,Bob Neuwirth
More And More  (LP Version),TRAAJMH128E0785407,,
Cowboy Ways,TRAAJNM12903CF4750,ARSE6YI1187B9B9CD2,James Hunter
Brasas Vivas,TRAAJSX128F4275A1D,,
Kolomeyke,TRAAJVJ128F42570AD,,
In This Life,TRAAJXQ128F92E65BF,,
Groovin' In The Midnight,TRAAJYX128F4255568,ARI0PUX1187FB3F215,Maxi Priest
Waiting,TRAAKAS128F4246013,ARYO9BU1187B9ADA88,Porcupine Tree
A'chek Ouyounik (2009 Digital Remaster),TRAAKAV128F931BE25,ARZ507V1187FB4425E,Ragheb Alama
Hell,TRAAKDF128F92FA302,AR6XPWV1187B9ADAEB,Foo Fighters
Hips Don't Lie (featuring Wyclef Jean),TRAAKDG128F42A0ECB,,
Juoksuhauta-twist (ElÃ¤mÃ¤ juoksuhaudoissa),TRAAKJJ128F4228346,AR4CG3B1187FB5B861,The Avengers
I Got Over It (Album Version),TRAAKNS12903CC5198,,
One Less Bell To Answer,TRAAKQS128F4224DE1,AREYIHC1187B99CE0B,Brazilian Tropical Orchestra
Festa,TRAAKSB128F934D73A,AREEMIN11F4C848971,Gil Semedo
Te Hacen Falta Vitaminas,TRAAKTK128F9343DCC,,
Sense And Trick,TRAAKVA128F934E69E,ARBGJLS11F4C83D4B9,Xmilk
Fire (Oscar G Space Vocal Mix),TRAAKVD12903CE8474,,
Hanging On (Medium Key Performance Track Without Background Vocals),TRAAKVZ12903D074BB,,
Grim Prospects (Version 2 Remix),TRAAKXN128F92E71B1,,
Christmas In Jamaica,TRAALCM128F4264370,,
Gossippo Perpetuo,TRAALDU128F930D56B,,
2190 Dias Contigo,TRAALEO128F42A7AEA,,
No Control,TRAALHD12903D0BD6A,AR0GGKI1187FB391D5,Eddie
The Vitalized Shell,TRAALNG12903D014E9,,
Mozart,TRAALRZ128F429024E,,
Ciao Milan,TRAALSV128F4282B9B,ARTHKKA122BCFCBF58,Milan Band
Lend Me Your Chopper,TRAALUX12903CFD50B,,
Letter To Heaven,TRAALZC128F92E11A6,,
Heaven is Where The Heart Is,TRAALZN128F932D457,,
Inside Job,TRAAMES128F42AF068,,
Take A Look  (LP Version),TRAAMFG128F92FDEA2,,
The Czar: Usurper/Escape/Martyr/Spiral (Album Version),TRAAMFT128F93128AD,,
Bulgarian Dream,TRAAMGJ12903CD315C,ARYXJ5A1187B9B9E56,Kiril Valeri
